word	cue_validity
disengagement.n.02	0.003792740966967428
receding.n.02	0.026231570717920774
sailing.n.03	0.10640018908346913
amphibious_landing.n.01	0.0016812870525912676
debarkation.n.01	0.03107584073291406
going_ashore.n.01	0.001863151664478466
boarding.n.01	0.07195598228792723
exit.n.03	0.11630011213569225
elopement.n.01	0.002360912458282906
escape.n.01	0.01975484107954356
evasion.n.04	0.013333333333333334
slip.n.15	0.04191657880072218
maneuver.n.05	0.02425020088884089
clinch.n.01	0.004635341257724827
dodge.n.02	0.0008748906386701663
break.n.16	2.0345820137926345
getaway.n.02	0.026643148945633063
exodus.n.01	0.013175288053762363
hegira.n.01	0.008706457794866456
skedaddle.n.01	0.007257467084217261
underground_railroad.n.01	0.008211404335739983
close_call.n.01	0.186161788939025
surfacing.n.01	0.011244513134278548
